,,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
,,,Kasperthepoet,Contender,Banchory Bangers,Quidditch League,Solar,53.0,443,35,0.324,0.257,9,26,11819,6360,5459,27,10,50,66,40.9%,350.1,188.4,161.7,0.80,0.30,1.48,1.95,337.7,181.7,156.0,0.77,0.29,1.43,1.89,59,95,1.75,2.81,1.69,2.71
,,,Array,Contender,Pomodoro,Fifty-Fifty Pizzeria,Solar,49.3,378,31,0.507,0.548,17,14,8986,4470,4516,18,14,28,57,31.6%,311.9,155.2,156.8,0.62,0.49,0.97,1.98,289.9,144.2,145.7,0.58,0.45,0.90,1.84,56,55,1.94,1.91,1.81,1.77
,,,Kush_The_Ninja,Contender,Samurai,The Sovereign,Lunar,49.3,683,53,0.410,0.453,24,29,15293,8720,6573,41,23,45,122,33.6%,293.8,167.5,126.3,0.79,0.44,0.86,2.34,288.5,164.5,124.0,0.77,0.43,0.85,2.30,111,140,2.13,2.69,2.09,2.64
,,,Bud-Lite4U,Contender,Giants,The Forest,Lunar,48.1,556,44,0.439,0.455,20,24,13168,7030,6138,32,15,43,93,34.4%,310.8,165.9,144.9,0.76,0.35,1.01,2.19,299.3,159.8,139.5,0.73,0.34,0.98,2.11,96,112,2.27,2.64,2.18,2.55
,,,Tacticalstr1Ke,Contender,Thunder Buddies,Electric Mayhem,Lunar,46.6,562,41,0.559,0.585,24,17,11904,6770,5134,23,27,44,92,25.0%,277.9,158.1,119.9,0.54,0.63,1.03,2.15,290.3,165.1,125.2,0.56,0.66,1.07,2.24,97,83,2.26,1.94,2.37,2.02
,,,Dofri9976,Contender,Thunder Buddies,Electric Mayhem,Lunar,45.1,731,55,0.567,0.582,32,23,17019,9360,7659,43,21,58,111,38.7%,305.5,168.0,137.5,0.77,0.38,1.04,1.99,309.4,170.2,139.3,0.78,0.38,1.05,2.02,129,108,2.32,1.94,2.35,1.96
,,,Sharkkilla06,Contender,Samurai,The Sovereign,Lunar,42.1,503,38,0.411,0.474,18,20,10697,5900,4797,27,16,31,85,31.8%,279.1,153.9,125.1,0.70,0.42,0.81,2.22,281.5,155.3,126.2,0.71,0.42,0.82,2.24,82,103,2.14,2.69,2.16,2.71
,,,Buck_Nut82,Contender,Thunder Buddies,Electric Mayhem,Lunar,41.5,286,23,0.500,0.478,11,12,6161,3580,2581,15,12,22,38,39.5%,282.7,164.3,118.4,0.69,0.55,1.01,1.74,267.9,155.7,112.2,0.65,0.52,0.96,1.65,46,46,2.11,2.11,2.00,2.00
,,,Carlsaganbro,Contender,"Pomodoro
Cassiopeia","Fifty-Fifty Pizzeria
The N Ξ X U S",Solar,41.4,520,42,0.311,0.238,10,32,12565,6580,5985,25,12,55,73,34.2%,317.1,166.0,151.0,0.63,0.30,1.39,1.84,299.2,156.7,142.5,0.60,0.29,1.31,1.74,60,102,1.51,2.57,1.43,2.43
,,,Fluffyninja4738,Contender,Giants,The Forest,Lunar,41.3,268,21,0.469,0.429,9,12,5832,3320,2512,13,9,23,42,31.0%,285.6,162.6,123.0,0.64,0.44,1.13,2.06,277.7,158.1,119.6,0.62,0.43,1.10,2.00,49,53,2.40,2.60,2.33,2.52
,,,Crimzonsparrow,Contender,"Dart Frogs
Cassiopeia","The Jungle
The N Ξ X U S",Solar,41.0,598,49,0.387,0.367,18,31,13856,7040,6816,25,15,57,94,26.6%,304.0,154.5,149.6,0.55,0.33,1.25,2.06,282.8,143.7,139.1,0.51,0.31,1.16,1.92,82,111,1.80,2.44,1.67,2.27
,,,Kg3924,Contender,Mothra,Kaiju,Solar,40.7,247,18,0.510,0.500,9,9,5418,2760,2658,10,9,19,36,27.8%,287.8,146.6,141.2,0.53,0.48,1.01,1.91,301.0,153.3,147.7,0.56,0.50,1.06,2.00,36,35,1.91,1.86,2.00,1.94
,,,Xx_Smitty_Xx,Contender,Dart Frogs,The Jungle,Solar,39.9,509,40,0.388,0.325,13,27,12327,6370,5957,22,14,57,62,35.5%,317.8,164.2,153.6,0.57,0.36,1.47,1.60,308.2,159.3,148.9,0.55,0.35,1.43,1.55,68,92,1.75,2.37,1.70,2.30
,,,Stale Popcorn,Contender,Microwaves,The Wavelengths,Solar,37.9,451,33,0.511,0.485,16,17,8429,4550,3879,16,23,22,70,22.9%,245.2,132.4,112.9,0.47,0.67,0.64,2.04,255.4,137.9,117.5,0.48,0.70,0.67,2.12,72,70,2.09,2.04,2.18,2.12
,,,Zippythegnome,Contender,Mothra,Kaiju,Solar,34.3,320,24,0.603,0.542,13,11,6208,3460,2748,13,15,20,41,31.7%,254.6,141.9,112.7,0.53,0.62,0.82,1.68,258.7,144.2,114.5,0.54,0.63,0.83,1.71,58,44,2.38,1.80,2.42,1.83
,,,Kgfan3,Contender,Pomodoro,Fifty-Fifty Pizzeria,Solar,34.3,684,52,0.479,0.462,24,28,14765,7150,7615,29,17,48,100,29.0%,283.3,137.2,146.1,0.56,0.33,0.92,1.92,283.9,137.5,146.4,0.56,0.33,0.92,1.92,107,113,2.05,2.17,2.06,2.17
,,,Alextross,Contender,Pomodoro,Fifty-Fifty Pizzeria,Solar,34.2,214,17,0.375,0.294,5,12,4364,2540,1824,12,7,14,29,41.4%,267.6,155.7,111.8,0.74,0.43,0.86,1.78,256.7,149.4,107.3,0.71,0.41,0.82,1.71,38,52,2.33,3.19,2.24,3.06
,,,Avacadros,Contender,Teddy Bears,The Bear Den,Lunar,32.2,456,33,0.530,0.545,18,15,8994,4740,4254,16,19,32,59,27.1%,258.8,136.4,122.4,0.46,0.55,0.92,1.70,272.5,143.6,128.9,0.48,0.58,0.97,1.79,80,74,2.30,2.13,2.42,2.24
,,,Greengofantastic,Contender,"Banchory Bangers
Boxers","Quidditch League
Puppy Paradise",Lunar,32.1,247,18,0.356,0.278,5,13,5191,2990,2201,11,7,24,34,32.4%,275.8,158.8,116.9,0.58,0.37,1.28,1.81,288.4,166.1,122.3,0.61,0.39,1.33,1.89,28,42,1.49,2.23,1.56,2.33
,,,Charlieharley_1,Contender,Teddy Bears,The Bear Den,Lunar,31.9,384,29,0.572,0.552,16,13,7179,4170,3009,17,15,23,57,29.8%,245.3,142.5,102.8,0.58,0.51,0.79,1.95,247.6,143.8,103.8,0.59,0.52,0.79,1.97,69,57,2.36,1.95,2.38,1.97
,,,Beacon_Trill,Contender,Banchory Bangers,Quidditch League,Solar,28.4,546,43,0.484,0.465,20,23,11654,6540,5114,24,14,56,64,37.5%,280.1,157.2,122.9,0.58,0.34,1.35,1.54,271.0,152.1,118.9,0.56,0.33,1.30,1.49,98,102,2.36,2.45,2.28,2.37
,,,Robinchilling,Contender,Microwaves,The Wavelengths,Solar,26.5,78,5,0.576,0.600,3,2,1605,890,715,2,1,10,14,14.3%,270.0,149.7,120.3,0.34,0.17,1.68,2.36,321.0,178.0,143.0,0.40,0.20,2.00,2.80,10,8,1.68,1.35,2.00,1.60
,,,Rocci,Contender,Microwaves,The Wavelengths,Solar,22.1,331,24,0.656,0.667,16,8,5857,3460,2397,14,10,22,46,30.4%,232.2,137.2,95.0,0.56,0.40,0.87,1.82,244.0,144.2,99.9,0.58,0.42,0.92,1.92,59,38,2.34,1.51,2.46,1.58
,,,Bernatra,Contender,Banchory Bangers,Quidditch League,Solar,21.0,49,4,0.252,0.000,0,4,903,420,483,2,1,2,7,28.6%,241.8,112.5,129.3,0.54,0.27,0.54,1.87,225.8,105.0,120.8,0.50,0.25,0.50,1.75,6,12,1.61,3.21,1.50,3.00
,,,Styk75,Contender,Boxers,Puppy Paradise,Lunar,20.2,476,34,0.518,0.500,17,17,8804,4920,3884,21,11,33,62,33.9%,242.7,135.6,107.1,0.58,0.30,0.91,1.71,258.9,144.7,114.2,0.62,0.32,0.97,1.82,88,84,2.43,2.32,2.59,2.47
,,,Boulder God,Contender,Dart Frogs,The Jungle,Solar,19.3,673,53,0.431,0.396,21,32,13829,7370,6459,32,8,60,77,41.6%,269.6,143.7,125.9,0.62,0.16,1.17,1.50,260.9,139.1,121.9,0.60,0.15,1.13,1.45,100,120,1.95,2.34,1.89,2.26
,,,Trios,Contender,"Cassiopeia
Teddy Bears","The N Ξ X U S
The Bear Den",Solar,19.2,242,19,0.169,0.263,5,14,5022,2370,2652,10,3,19,27,37.0%,272.3,128.5,143.8,0.54,0.16,1.03,1.46,264.3,124.7,139.6,0.53,0.16,1.00,1.42,26,70,1.41,3.80,1.37,3.68
,,,Kdoughboy767,Contender,Cassiopeia,The N Ξ X U S,Solar,18.1,489,40,0.198,0.225,9,31,9666,4690,4976,14,9,45,59,23.7%,259.4,125.9,133.5,0.38,0.24,1.21,1.58,241.7,117.3,124.4,0.35,0.23,1.13,1.48,48,119,1.29,3.19,1.20,2.98
,,,Doomhunter,Contender,Cassiopeia,The N Ξ X U S,Solar,17.5,233,17,0.247,0.176,3,14,4302,2190,2112,7,4,19,34,20.6%,242.3,123.3,118.9,0.39,0.23,1.07,1.91,253.1,128.8,124.2,0.41,0.24,1.12,2.00,25,52,1.41,2.93,1.47,3.06
,,,The Susser,Contender,Samurai,The Sovereign,Lunar,11.6,282,22,0.252,0.273,6,16,4556,2360,2196,7,8,18,36,19.4%,212.0,109.8,102.2,0.33,0.37,0.84,1.68,207.1,107.3,99.8,0.32,0.36,0.82,1.64,37,73,1.72,3.40,1.68,3.32
,,,Techfour,Contender,Banchory Bangers,Quidditch League,Solar,7.6,49,4,0.252,0.000,0,4,872,470,402,1,2,5,2,50.0%,233.5,125.9,107.7,0.27,0.54,1.34,0.54,218.0,117.5,100.5,0.25,0.50,1.25,0.50,6,12,1.61,3.21,1.50,3.00
,,,Exactlyzer0,Contender,Cassiopeia,The N Ξ X U S,Solar,-7.9,108,7,0.096,0.000,0,7,1530,660,870,3,1,4,11,27.3%,185.9,80.2,105.7,0.36,0.12,0.49,1.34,218.6,94.3,124.3,0.43,0.14,0.57,1.57,8,33,0.97,4.01,1.14,4.71
,,,Xatom.,Contender,Samurai,The Sovereign,Lunar,-12.4,39,3,0.144,0.000,0,3,506,180,326,0,1,2,3,0.0%,170.2,60.6,109.7,0.00,0.34,0.67,1.01,168.7,60.0,108.7,0.00,0.33,0.67,1.00,4,12,1.35,4.04,1.33,4.00
,,,Bbcomedian,Contender,Banchory Bangers,Quidditch League,Solar,-26.3,51,4,0.455,0.750,3,1,540,240,300,2,0,0,4,50.0%,138.9,61.8,77.2,0.51,0.00,0.00,1.03,135.0,60.0,75.0,0.50,0.00,0.00,1.00,8,9,2.06,2.32,2.00,2.25
,,,Mintie,Contender,Cassiopeia,The N Ξ X U S,Solar,-40.6,214,16,0.055,0.063,1,15,1910,900,1010,2,1,11,10,20.0%,117.1,55.2,61.9,0.12,0.06,0.67,0.61,119.4,56.3,63.1,0.13,0.06,0.69,0.63,13,75,0.80,4.60,0.81,4.69
,,,Zweiizy,Challenger,Penne Patrol,Italian Battalion,Lunar,92.2,695,47,0.766,0.830,39,8,19910,12060,7850,63,32,45,191,33.0%,414.6,251.1,163.5,1.31,0.67,0.94,3.98,423.6,256.6,167.0,1.34,0.68,0.96,4.06,149,69,3.10,1.44,3.17,1.47
,,,Acyke,Challenger,Delay,Rock FX,Lunar,90.1,152,12,0.455,0.417,5,7,4309,2500,1809,9,10,16,30,30.0%,410.3,238.0,172.2,0.86,0.95,1.52,2.86,359.1,208.3,150.8,0.75,0.83,1.33,2.50,25,28,2.38,2.67,2.08,2.33
,,,Tidepods_Sq,Challenger,Squalls,Storm,Solar,88.5,861,57,0.552,0.561,32,25,25521,15350,10171,78,36,76,195,40.0%,429.0,258.0,171.0,1.31,0.61,1.28,3.28,447.7,269.3,178.4,1.37,0.63,1.33,3.42,153,134,2.57,2.25,2.68,2.35
,,,Honeybadgermo,Challenger,Chia Pets,As Seen on TV!,Solar,87.5,65,4,0.500,0.500,2,2,1888,1140,748,2,6,12,4,50.0%,420.4,253.8,166.5,0.45,1.34,2.67,0.89,472.0,285.0,187.0,0.50,1.50,3.00,1.00,10,10,2.23,2.23,2.50,2.50
,,,Aos Arctic,Challenger,Narwhals,Sub Zero,Solar,86.0,828,59,0.590,0.610,36,23,23628,13170,10458,59,45,67,167,35.3%,413.0,230.2,182.8,1.03,0.79,1.17,2.92,400.5,223.2,177.3,1.00,0.76,1.14,2.83,155,123,2.71,2.15,2.63,2.08
,,,Mikee Gfuelcom,Challenger,Steel,Metal,Solar,83.3,854,60,0.633,0.633,38,22,23520,13750,9770,70,35,56,220,31.8%,398.6,233.0,165.6,1.19,0.59,0.95,3.73,392.0,229.2,162.8,1.17,0.58,0.93,3.67,154,108,2.61,1.83,2.57,1.80
,,,Riddle,Challenger,Thunderbirds,Warbirds,Lunar,82.9,897,59,0.683,0.729,43,16,25049,15550,9499,68,39,95,205,33.2%,404.1,250.9,153.3,1.10,0.63,1.53,3.31,424.6,263.6,161.0,1.15,0.66,1.61,3.47,166,100,2.68,1.61,2.81,1.69
,,,Twitch.Wyxik,Challenger,Destroyah,Kaiju,Solar,77.3,301,20,0.565,0.700,14,6,8526,4960,3566,21,10,35,61,34.4%,409.9,238.5,171.5,1.01,0.48,1.68,2.93,426.3,248.0,178.3,1.05,0.50,1.75,3.05,51,43,2.45,2.07,2.55,2.15
,,,Jordon1377,Challenger,Limbo,Inferno,Solar,76.3,711,50,0.660,0.740,37,13,19541,11010,8531,47,28,69,146,32.2%,397.8,224.1,173.6,0.96,0.57,1.40,2.97,390.8,220.2,170.6,0.94,0.56,1.38,2.92,134,87,2.73,1.77,2.68,1.74
,,,Cpt Jon Smith,Challenger,Panda Bears,The Bear Den,Lunar,76.0,846,58,0.561,0.603,35,23,23202,13590,9612,70,30,64,189,37.0%,396.9,232.5,164.4,1.20,0.51,1.09,3.23,400.0,234.3,165.7,1.21,0.52,1.10,3.26,142,121,2.43,2.07,2.45,2.09
,,,Monsterbuck46,Challenger,Narwhals,Sub Zero,Solar,75.8,828,59,0.590,0.610,36,23,22846,13380,9466,64,29,75,178,36.0%,399.3,233.9,165.5,1.12,0.51,1.31,3.11,387.2,226.8,160.4,1.08,0.49,1.27,3.02,155,123,2.71,2.15,2.63,2.08
,,,Jdubzz.Rl,Challenger,Toucans,The Jungle,Solar,74.4,874,59,0.495,0.492,29,30,23985,15020,8965,73,31,87,182,40.1%,397.2,248.7,148.4,1.21,0.51,1.44,3.01,406.5,254.6,151.9,1.24,0.53,1.47,3.08,149,151,2.47,2.50,2.53,2.56
,,,Chrismingle,Challenger,Penne Patrol,Italian Battalion,Lunar,74.3,873,59,0.740,0.797,47,12,22882,14650,8232,68,41,79,185,36.8%,379.3,242.9,136.5,1.13,0.68,1.31,3.07,387.8,248.3,139.5,1.15,0.69,1.34,3.14,188,96,3.12,1.59,3.19,1.63
,,,Sleepzey,Challenger,"Aries
Baba Yaga","The N Ξ X U S
The Forest",Solar,71.4,212,14,0.262,0.143,2,12,5467,3150,2317,10,12,24,35,28.6%,373.2,215.0,158.2,0.68,0.82,1.64,2.39,390.5,225.0,165.5,0.71,0.86,1.71,2.50,25,48,1.71,3.28,1.79,3.43
,,,Ma410,Challenger,Tutshill Tornados,Quidditch League,Solar,71.1,884,59,0.591,0.559,33,26,22565,13690,8875,63,49,66,164,38.4%,369.4,224.1,145.3,1.03,0.80,1.08,2.68,382.5,232.0,150.4,1.07,0.83,1.12,2.78,174,138,2.85,2.26,2.95,2.34
,,,Bizzyrl,Challenger,Killer Bees,The Swarm,Solar,70.8,694,48,0.578,0.604,29,19,17908,10660,7248,46,31,62,141,32.6%,373.4,222.3,151.1,0.96,0.65,1.29,2.94,373.1,222.1,151.0,0.96,0.65,1.29,2.94,119,97,2.48,2.02,2.48,2.02
,,,Tonymenji,Challenger,Delay,Rock FX,Lunar,70.6,790,56,0.581,0.571,32,24,20870,12100,8770,47,34,85,145,32.4%,382.3,221.7,160.7,0.86,0.62,1.56,2.66,372.7,216.1,156.6,0.84,0.61,1.52,2.59,137,111,2.51,2.03,2.45,1.98
,,,Aueroh,Challenger,"Penne Patrol
Metal","Italian Battalion
The Elements",Solar,69.2,412,28,0.561,0.607,17,11,11271,5940,5331,28,10,36,84,33.3%,395.9,208.7,187.3,0.98,0.35,1.26,2.95,402.5,212.1,190.4,1.00,0.36,1.29,3.00,68,58,2.39,2.04,2.43,2.07
,,,Cronus,Challenger,Botchlings,The Bestiary,Lunar,68.7,741,54,0.462,0.389,21,33,18883,10210,8673,46,34,49,146,31.5%,368.8,199.4,169.4,0.90,0.66,0.96,2.85,349.7,189.1,160.6,0.85,0.63,0.91,2.70,117,129,2.29,2.52,2.17,2.39
,,,Its_Lost,Challenger,"Squalls
Aries","Storm
The N Ξ X U S",Solar,68.7,795,56,0.469,0.464,26,30,20408,10990,9418,43,31,70,164,26.2%,371.5,200.1,171.4,0.78,0.56,1.27,2.99,364.4,196.3,168.2,0.77,0.55,1.25,2.93,118,128,2.15,2.33,2.11,2.29
,,,Beans.,Challenger,Limbo,Inferno,Solar,67.2,753,52,0.669,0.750,39,13,19412,11880,7532,63,29,52,153,41.2%,373.1,228.3,144.8,1.21,0.56,1.00,2.94,373.3,228.5,144.8,1.21,0.56,1.00,2.94,152,97,2.92,1.86,2.92,1.87
,,,Veoloux,Challenger,New World Order,Rocket Association Wrestling,Lunar,65.2,748,48,0.543,0.563,27,21,18770,10680,8090,35,28,86,148,23.6%,363.2,206.6,156.5,0.68,0.54,1.66,2.86,391.0,222.5,168.5,0.73,0.58,1.79,3.08,111,99,2.15,1.92,2.31,2.06
,,,Genghizkaan,Challenger,Limbo,Inferno,Solar,65.1,708,50,0.686,0.760,38,12,17872,10490,7382,43,34,66,119,36.1%,365.3,214.4,150.9,0.88,0.69,1.35,2.43,357.4,209.8,147.6,0.86,0.68,1.32,2.38,142,86,2.90,1.76,2.84,1.72
,,,Reeky,Challenger,Killer Bees,The Swarm,Solar,64.6,749,52,0.596,0.596,31,21,19906,11370,8536,46,25,86,122,37.7%,384.6,219.7,164.9,0.89,0.48,1.66,2.36,382.8,218.7,164.2,0.88,0.48,1.65,2.35,130,101,2.51,1.95,2.50,1.94
,,,Jerry4L,Challenger,Spartans,The Sovereign,Lunar,64.2,355,25,0.621,0.640,16,9,8807,5150,3657,26,17,21,65,40.0%,359.0,209.9,149.1,1.06,0.69,0.86,2.65,352.3,206.0,146.3,1.04,0.68,0.84,2.60,66,48,2.69,1.96,2.64,1.92
,,,Rootbear,Challenger,Guardians of the Galaxy,The Comic Crusaders,Lunar,64.2,843,57,0.525,0.561,32,25,21340,11870,9470,51,33,71,157,32.5%,366.4,203.8,162.6,0.88,0.57,1.22,2.70,374.4,208.2,166.1,0.89,0.58,1.25,2.75,149,140,2.56,2.40,2.61,2.46
,,,Jerdah,Challenger,"Baba Yaga
Chia Pets
Killer Bees","The Forest
As Seen on TV!
The Swarm",Solar,62.8,168,12,0.443,0.333,4,8,4221,2310,1911,9,8,15,26,34.6%,363.6,199.0,164.6,0.78,0.69,1.29,2.24,351.8,192.5,159.3,0.75,0.67,1.25,2.17,25,29,2.15,2.50,2.08,2.42
,,,Blun,Challenger,Belugas,Whale Defense,Solar,62.4,816,60,0.535,0.550,33,27,20120,11000,9120,47,35,61,150,31.3%,356.8,195.1,161.7,0.83,0.62,1.08,2.66,335.3,183.3,152.0,0.78,0.58,1.02,2.50,138,126,2.45,2.23,2.30,2.10
,,,Beeb,Challenger,Belugas,Whale Defense,Solar,61.5,764,55,0.531,0.545,30,25,18804,10320,8484,44,29,60,147,29.9%,356.2,195.5,160.7,0.83,0.55,1.14,2.78,341.9,187.6,154.3,0.80,0.53,1.09,2.67,129,119,2.44,2.25,2.35,2.16
,,,Lucky Ducky,Challenger,Isopods,The Abyss,Lunar,61.1,385,27,0.523,0.519,14,13,9752,5820,3932,30,11,30,77,39.0%,366.6,218.8,147.8,1.13,0.41,1.13,2.89,361.2,215.6,145.6,1.11,0.41,1.11,2.85,70,66,2.63,2.48,2.59,2.44
,,,Curs3D,Challenger,Spartans,The Sovereign,Lunar,61.1,786,55,0.524,0.473,26,29,20528,11620,8908,45,25,93,122,36.9%,378.0,214.0,164.0,0.83,0.46,1.71,2.25,373.2,211.3,162.0,0.82,0.45,1.69,2.22,132,124,2.43,2.28,2.40,2.25
,,,Daniel...,Challenger,Chia Pets,As Seen on TV!,Solar,60.8,675,47,0.400,0.447,21,26,17602,9900,7702,46,14,66,130,35.4%,377.4,212.3,165.1,0.99,0.30,1.42,2.79,374.5,210.6,163.9,0.98,0.30,1.40,2.77,98,127,2.10,2.72,2.09,2.70
,,,Tharealdub,Challenger,Threshers,Shark Attack,Lunar,60.5,877,58,0.528,0.603,35,23,21534,13030,8504,52,38,89,148,35.1%,355.4,215.0,140.3,0.86,0.63,1.47,2.44,371.3,224.7,146.6,0.90,0.66,1.53,2.55,145,135,2.39,2.23,2.50,2.33
,,,Gorillacream707,Challenger,Spartans,The Sovereign,Lunar,60.0,574,40,0.598,0.525,21,19,13423,7260,6163,27,30,41,101,26.7%,338.4,183.0,155.4,0.68,0.76,1.03,2.55,335.6,181.5,154.1,0.68,0.75,1.03,2.53,101,78,2.55,1.97,2.53,1.95
,,,Boeso,Challenger,Toucans,The Jungle,Solar,59.8,676,45,0.551,0.533,24,21,15898,9380,6518,38,33,54,123,30.9%,340.4,200.8,139.5,0.81,0.71,1.16,2.63,353.3,208.4,144.8,0.84,0.73,1.20,2.73,125,110,2.68,2.35,2.78,2.44
,,,Mattviaairwaves,Challenger,Isopods,The Abyss,Lunar,59.7,847,59,0.423,0.373,22,37,21044,11600,9444,50,34,70,140,35.7%,359.6,198.2,161.4,0.85,0.58,1.20,2.39,356.7,196.6,160.1,0.85,0.58,1.19,2.37,128,156,2.19,2.67,2.17,2.64
,,,Daturquoisorang,Challenger,Visible Light,The Wavelengths,Solar,59.6,622,43,0.446,0.442,19,24,15671,8740,6931,34,23,64,99,34.3%,364.6,203.4,161.3,0.79,0.54,1.49,2.30,364.4,203.3,161.2,0.79,0.53,1.49,2.30,94,108,2.19,2.51,2.19,2.51
,,,Obeyedmuffin,Challenger,Guardians of the Galaxy,The Comic Crusaders,Lunar,59.4,391,28,0.712,0.714,20,8,9321,5670,3651,29,18,23,72,40.3%,345.0,209.9,135.1,1.07,0.67,0.85,2.66,332.9,202.5,130.4,1.04,0.64,0.82,2.57,85,48,3.15,1.78,3.04,1.71
,,,Sweetnlow120,Challenger,Smooth Mint,Minty Fresh,Solar,59.1,847,57,0.554,0.526,30,27,20766,11470,9296,42,32,84,147,28.6%,354.8,196.0,158.8,0.72,0.55,1.44,2.51,364.3,201.2,163.1,0.74,0.56,1.47,2.58,126,109,2.15,1.86,2.21,1.91
,,,Ben,Challenger,Steel,Metal,Solar,58.6,179,12,0.748,0.667,8,4,4103,2660,1443,14,7,10,41,34.1%,331.7,215.1,116.7,1.13,0.57,0.81,3.31,341.9,221.7,120.3,1.17,0.58,0.83,3.42,40,20,3.23,1.62,3.33,1.67
,,,Primed,Challenger,Delay,Rock FX,Lunar,57.8,638,45,0.587,0.600,27,18,15613,8760,6853,42,24,45,111,37.8%,354.2,198.7,155.5,0.95,0.54,1.02,2.52,347.0,194.7,152.3,0.93,0.53,1.00,2.47,113,90,2.56,2.04,2.51,2.00
,,,Twoslot,Challenger,The Flood,The Monster Mash,Lunar,57.4,663,47,0.486,0.553,26,21,15918,8640,7278,37,24,50,124,29.8%,347.5,188.6,158.9,0.81,0.52,1.09,2.71,338.7,183.8,154.9,0.79,0.51,1.06,2.64,110,114,2.40,2.49,2.34,2.43
,,,Dumplingsaregod,Challenger,"Nebulae
Shock","The Cosmos
Electric Mayhem",Solar,56.9,316,21,0.372,0.429,9,12,7139,4190,2949,14,17,28,54,25.9%,327.0,191.9,135.1,0.64,0.78,1.28,2.47,340.0,199.5,140.4,0.67,0.81,1.33,2.57,46,64,2.11,2.93,2.19,3.05
,,,Ttvcentuaro,Challenger,"Threshers
Toucans","Shark Attack
The Jungle",Lunar,56.4,542,37,0.632,0.676,25,12,12396,6520,5876,23,24,40,102,22.5%,331.0,174.1,156.9,0.61,0.64,1.07,2.72,335.0,176.2,158.8,0.62,0.65,1.08,2.76,98,69,2.62,1.84,2.65,1.86
,,,Parkkid,Challenger,Metal,The Elements,Solar,56.2,749,49,0.406,0.408,20,29,17947,10090,7857,39,23,72,144,27.1%,346.8,195.0,151.8,0.75,0.44,1.39,2.78,366.3,205.9,160.3,0.80,0.47,1.47,2.94,99,127,1.91,2.45,2.02,2.59
,,,Zl Mango Lz,Challenger,"Steel
Aries","Metal
The N Ξ X U S",Solar,56.0,685,50,0.542,0.560,28,22,16299,8680,7619,33,25,58,123,26.8%,344.4,183.4,161.0,0.70,0.53,1.23,2.60,326.0,173.6,152.4,0.66,0.50,1.16,2.46,105,94,2.22,1.99,2.10,1.88
,,,Theairgerbil,Challenger,Shock,Electric Mayhem,Lunar,55.6,693,49,0.445,0.388,19,30,16640,9850,6790,38,26,72,115,33.0%,347.5,205.7,141.8,0.79,0.54,1.50,2.40,339.6,201.0,138.6,0.78,0.53,1.47,2.35,104,120,2.17,2.51,2.12,2.45
,,,Drip2Ez,Challenger,"Isopods
New World Order","The Abyss
Rocket Association Wrestling",Lunar,55.0,344,23,0.500,0.478,11,12,8537,4920,3617,19,11,39,52,36.5%,359.2,207.0,152.2,0.80,0.46,1.64,2.19,371.2,213.9,157.3,0.83,0.48,1.70,2.26,49,49,2.06,2.06,2.13,2.13
,,,Ashura.-,Challenger,Smooth Mint,Minty Fresh,Solar,54.4,604,42,0.566,0.524,22,20,13774,7400,6374,27,29,45,100,27.0%,330.0,177.3,152.7,0.65,0.69,1.08,2.40,328.0,176.2,151.8,0.64,0.69,1.07,2.38,92,77,2.20,1.84,2.19,1.83
,,,Redline,Challenger,Belugas,Whale Defense,Solar,54.4,376,30,0.531,0.567,17,13,9233,5310,3923,21,13,40,56,37.5%,355.4,204.4,151.0,0.81,0.50,1.54,2.16,307.8,177.0,130.8,0.70,0.43,1.33,1.87,66,61,2.54,2.35,2.20,2.03
,,,Danaconda84,Challenger,"Nebulae
Limbo","The Cosmos
Inferno",Solar,54.1,268,19,0.330,0.368,7,12,6088,3500,2588,11,14,26,40,27.5%,328.8,189.0,139.8,0.59,0.76,1.40,2.16,320.4,184.2,136.2,0.58,0.74,1.37,2.11,38,59,2.05,3.19,2.00,3.11
,,,Prometiumz,Challenger,Tutshill Tornados,Quidditch League,Solar,53.9,580,38,0.565,0.553,21,17,14108,8840,5268,51,14,38,114,44.7%,352.0,220.6,131.4,1.27,0.35,0.95,2.84,371.3,232.6,138.6,1.34,0.37,1.00,3.00,113,96,2.82,2.40,2.97,2.53
,,,Thenoobishlord,Challenger,Schnauzers,Puppy Paradise,Lunar,53.6,638,44,0.500,0.432,19,25,14301,8020,6281,28,26,54,122,23.0%,324.4,181.9,142.5,0.64,0.59,1.22,2.77,325.0,182.3,142.8,0.64,0.59,1.23,2.77,95,95,2.15,2.15,2.16,2.16
,,,Xswannig,Challenger,Baba Yaga,The Forest,Lunar,53.5,291,20,0.611,0.600,12,8,7331,4010,3321,15,8,34,41,36.6%,364.6,199.4,165.2,0.75,0.40,1.69,2.04,366.6,200.5,166.1,0.75,0.40,1.70,2.05,51,38,2.54,1.89,2.55,1.90
,,,Spoiledbred,Challenger,Steel,Metal,Solar,53.2,108,8,0.725,0.625,5,3,2258,1230,1028,4,7,6,18,22.2%,302.6,164.8,137.8,0.54,0.94,0.80,2.41,282.3,153.8,128.5,0.50,0.88,0.75,2.25,16,8,2.14,1.07,2.00,1.00
